,Specialist,Name,Ratings,Experience,Available Days,Appointment Times,Location
57,Pulmonologist,Dr. Agyasingh Kochar[8],4.6,7 years,Monday to Saturday,9:00 AM - 7:00 PM,"Mumbai, India"
58,Pulmonologist,Dr. Meghana Subhash[9],4.2,15 years,Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",India
59,Pulmonologist,Dr. Swapnil Sanjay Kakad[10],4,30+ years,Monday to Saturday,09:00 - 18:00,India
60,Cardiologist,Dr. Devi Prasad Shetty,5,35 years,Mon-Sat,9:00 AM - 5:00 PM,Bangalore
61,Cardiologist,Dr. Ashok Seth,5,10 years,Mon-Sat,9:00 AM - 5:00 PM,New Delhi
62,Cardiologist,Dr. Naresh Trehan,4.25,29 years,Mon-Sat,9:00 AM - 5:00 PM,Gurgaon
63,Cardiologist,Dr. Ramakant Panda,4.65,Over 35 years,Monday to Saturday,10:00 AM - 7:00 PM,Mumbai
64,Cardiologist,Dr. K.K Talwar,5,"Chairman, Max Super Speciality Hospital",Monday to Saturday,9:00 AM - 7:00 PM,New Delhi
65,Cardiologist,Dr. Purushottam Lal,5,"Chairman, Metro Group of Hospitals",Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",Noida
66,Cardiologist,Dr. Praveen Chandra,4.25,"Chairman of Interventional Cardiology, Medanta - The Medicity",Monday to Saturday,09:00 - 18:00,Gurgaon
67,Cardiologist,Dr. Ajay Kaul,4.9,"Cardiac Surgeon, Nayati Medicity",Mon-Sat,19:30 - 02:10,Delhi NCR
68,Cardiologist,Dr. Tejas Patel,4.7,"Chairman and Chief Interventional Cardiologist, Apex Heart Institute",Mon-Sat,08:00 - 20:00,Ahmedabad
69,Cardiologist,Dr. Sandeep Attawar,4.55,"Director, Global Hospitals",Mon-Sat,9:00 AM - 5:00 PM,Chennai
70,Neurologist,Dr. Vinit Suri,4.6,Not Available,Monday to Saturday,09:00 - 18:00,Delhi
71,Neurologist,Dr. Rajesh Garg,5,Renowned,Mon-Sat,19:30 - 02:10,Delhi
72,Neurologist,Dr. Sushil Tandel,5,Renowned,Mon-Sat,08:00 - 20:00,Mumbai
73,Neurologist,Dr. K.K Jindal,4.25,Over 25,Mon-Sat,9:00 AM - 5:00 PM,New Delhi
74,Neurologist,Dr. Sanjay Kumar Mishra,4.65,Over 18,Mon-Sat,9:00 AM - 5:00 PM,New Delhi
75,Neurologist,Dr. Pradyumna J. Oak,5,Over 15,Mon-Sat,9:00 AM - 5:00 PM,Mumbai
76,Neurologist,Dr. Amit Batra,5,Over 14,Mon-Sat,9:00 AM - 5:00 PM,New Delhi
77,Neurologist,Dr. Mohit Goel,4.25,Over 29,Monday to Saturday,10:00 AM - 7:00 PM,Delhi NCR
78,Neurologist,Dr. Manoj Khandelwal,4.9,Over 17,Monday to Saturday,9:00 AM - 7:00 PM,New Delhi
79,Neurologist,Dr. Kamakshi Dhamija,4.7,Over 11,Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",New Delhi
80,Orthopedic Surgeon,Dr. Ashok Joh pur,5,"DirectorDirector Centre for AI Research, Raghudeep Eye Hospital",,,
81,Orthopedic Surgeon,Dr. D.Y. Patil,5, founded DY Patil Medical College,Monday to Saturday,9:00 AM - 7:00 PM,Delhi
82,Orthopedic Surgeon,Dr. Shekhar Bhojraj,5,Renowned,Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",Mumbai
83,Orthopedic Surgeon,Dr. Deepak Kumar Jain,4.25,Over 30 years,Monday to Saturday,09:00 - 18:00,Bangalore
84,Orthopedic Surgeon,Dr. Bipin Seth,4.9,Over 25 years,Mon-Sat,9:00 AM - 5:00 PM,Delhi
85,Orthopedic Surgeon,Dr. Anant Kumar,4.7,"Director, Indian Spinal Injuries Centre",Mon-Sat,9:00 AM - 5:00 PM,Gurgaon
86,Orthopedic Surgeon,Dr. V. C. Menon,4.55,"Head - Institute of Orthopaedics, Medanta Medicity",Mon-Sat,9:00 AM - 5:00 PM,New Delhi
87,Orthopedic Surgeon,Dr. C.P. Agarwal,4.6,"Head, Department of Orthopaedics, Apollo Hospitals",Monday to Saturday,10:00 AM - 7:00 PM,Gurgaon
88,Orthopedic Surgeon,Dr. Sandeep Vaish,4.25,"Director, Center for Knee Surgery and Sports Medicine",Monday to Saturday,9:00 AM - 7:00 PM,Chennai
89,Orthopedic Surgeon,Dr. Amit Gupta,4.9,Joint Replacement & Arthroscopy Specialist,Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",New Delhi
90,Otolaryngologist(ENT),Dr. J.L. Bajaj,5,Renowned,Monday to Saturday,09:00 - 18:00,Delhi
91,Otolaryngologist(ENT),Dr. Ashwini Kumar,5,Renowned,Mon-Sat,19:30 - 02:10,Mumbai
92,Otolaryngologist(ENT),Dr. Sandeep Desai,5,Over 20 years,Mon-Sat,08:00 - 20:00,Bangalore
93,Otolaryngologist(ENT),Dr. Debashish Mishra,4.25,Established Practice,Mon-Sat,9:00 AM - 5:00 PM,Kolkata
94,Otolaryngologist(ENT),Dr. Rajesh Kapoor,4.9,Extensive Experience,Mon-Sat,9:00 AM - 5:00 PM,Chennai
95,Otolaryngologist(ENT),Dr. Srinivas Prasad,4.7,Renowned,Mon-Sat,9:00 AM - 5:00 PM,Hyderabad
96,Otolaryngologist(ENT),Dr. Meenakshi Aggarwal,4.55,Over 25 years,Mon-Sat,9:00 AM - 5:00 PM,Ahmedabad
97,Otolaryngologist(ENT),Dr. Joydeep Ghosh,4.6,Established Practice,Monday to Saturday,10:00 AM - 7:00 PM,Pune
98,Otolaryngologist(ENT),Dr. B. N. Sinha,4.25,Renowned,Monday to Saturday,9:00 AM - 7:00 PM,Lucknow
99,Otolaryngologist(ENT),Dr. Pradeep Sahni,4.9,Over 15 years,Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",Chandigarh
100,Vascular Surgeon,Dr. Amitabha Chakravarti,5,Renowned,Mon-Sat,9:00 AM - 5:00 PM,Kolkata
101,Vascular Surgeon,Dr. C. S. Ramakrishnan,5,Renowned,Monday to Saturday,10:00 AM - 7:00 PM,Chennai
102,Vascular Surgeon,Dr. Parthasarathi Rao,5,Over 20 years,Monday to Saturday,9:00 AM - 7:00 PM,Hyderabad
103,Vascular Surgeon,Dr. Sandeep Seth,4.25,Established Practice,Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",Delhi
104,Vascular Surgeon,Dr. Santosh Kumar Rai,4.9,Extensive Experience,,,Mumbai
105,Vascular Surgeon,Dr. Arvind Kumar,4.7,Renowned,Monday to Saturday,9:00 AM - 7:00 PM,Bangalore
106,Vascular Surgeon,Dr. Mathew Cherian,4.55,Over 25 years,Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",Kerala
107,Vascular Surgeon,Dr. Z. S. Mehtre,4.6,Established Practice,Monday to Saturday,09:00 - 18:00,Pune
108,Vascular Surgeon,Dr. Pradeep Muley,4.25,Renowned,Mon-Sat,9:00 AM - 5:00 PM,Mumbai
109,Vascular Surgeon,Dr. Mukesh Aggarwal,4.9,Over 15 years,Mon-Sat,9:00 AM - 5:00 PM,Gurgaon
110,Rheumatologist,Dr. A.K. Singh,,Renowned,Mon-Sat,08:00 - 20:00,Delhi
111,Rheumatologist,Dr. Prathap C Reddy,,Established Practice,Mon-Sat,9:00 AM - 5:00 PM,Hyderabad
112,Rheumatologist,Dr. Neelam Mohan,,Over 20 years,Monday to Saturday,09:00 - 18:00,Bangalore
113,Rheumatologist,Dr. Jyothi Rao,,Extensive Experience,Mon-Sat,19:30 - 02:10,Mumbai
114,Rheumatologist,Dr. Shweta Singh,,Established Practice,Mon-Sat,08:00 - 20:00,Chennai
115,Rheumatologist,Dr. Tapadia,,Renowned,Mon-Sat,9:00 AM - 5:00 PM,Kolkata
116,Rheumatologist,Dr. Manish Agarwal,,Over 15 years,Mon-Sat,9:00 AM - 5:00 PM,Ahmedabad
117,Rheumatologist,Dr. Rajiv Ranjan Prasad,,Established Practice,Mon-Sat,9:00 AM - 5:00 PM,Patna
118,Rheumatologist,Dr. Sucheta Desai,,Over 25 years,Mon-Sat,9:00 AM - 5:00 PM,Pune
119,Rheumatologist,Dr. Yogesh Kadam,,Over 10 years,Monday to Saturday,10:00 AM - 7:00 PM,Nagpur
120,Urologist,Dr. Percy Chibber,,Renowned (42 years),Mon-Sat,9:00 AM - 5:00 PM,Mumbai
121,Urologist,Dr. Rajesh Taneja,,Renowned (over 33 years),Mon-Sat,9:00 AM - 5:00 PM,Delhi
122,Urologist,Dr. Mohan Keshavamurthy,,Renowned,Mon-Sat,9:00 AM - 5:00 PM,Bangalore
123,Urologist,Dr. Joseph Thachil,,Renowned,Monday to Saturday,10:00 AM - 7:00 PM,Chennai
124,Urologist,Dr. Amit Ghose,,Established Practice,Monday to Saturday,9:00 AM - 7:00 PM,Kolkata
125,Urologist,Dr. Shailesh Raina,,Extensive Experience,Monday to Saturday,"10:00 AM - 3:00 PM, 4:30 PM - 7:30 PM",Delhi
126,Urologist,Dr. Rajiv Yadav,,Established Practice,Monday to Saturday,09:00 - 18:00,Delhi
127,Urologist,Dr. Pankaj Maheshwari,,Established Practice,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Varies by day,Delhi
128,Urologist,Dr. Sanjay Gogoi,,21+ years,Mon-Sat,9:00 AM - 5:00 PM,"Dwarka, Delhi"
129,Urologist,Dr. Bejoy Abraham,,Renowned,Mon-Sat,08:00 - 20:00,Mumbai
